Nombre,Marca,Coste,Género,Url,web_origen
"
GEL-KAYANO™ 27
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27/p/1012A649-401.html,asics.com
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1012A885-402.html,asics.com
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1012B011-700.html,asics.com
"
GEL-KAYANO™ 27
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27/p/1012A649-001.html,asics.com
"
GEL-KAYANO™ 27
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27/p/1012A649-021.html,asics.com
"
GT-2000™ 9
",asics,"

140,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gt-2000%E2%84%A2-9/p/1012A859-022.html,asics.com
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1012A885-002.html,asics.com
"
GEL-NIMBUS™ 23 PLATINUM
",asics,"

200,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23-platinum/p/1012B013-001.html,asics.com
"
GEL-CUMULUS™ 22
",asics,"

140,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-cumulus%E2%84%A2-22/p/1012A741-403.html,asics.com
"
GEL-NIMBUS™ 23 NEW STRONG™
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23-new-strong%E2%84%A2/p/1012A999-300.html,asics.com
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1012A885-001.html,asics.com
"
GT-2000™ 9
",asics,"

140,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gt-2000%E2%84%A2-9/p/1012A859-001.html,asics.com
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1012A885-400.html,asics.com
"
GEL-CUMULUS™ 22
",asics,"

140,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-cumulus%E2%84%A2-22/p/1012A741-026.html,asics.com
"
NOVABLAST™ PLATINUM
",asics,"

160,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/novablast%E2%84%A2-platinum/p/1012B014-001.html,asics.com
"
GEL-NIMBUS™ 23 EARTH DAY
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23-earth-day/p/1012B016-101.html,asics.com
"
GEL-Trabuco™ 9 G-TX
",asics,"

160,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-trabuco%E2%84%A2-9-g-tx/p/1012A900-001.html,asics.com
"
GEL-KAYANO™ 27 LITE-SHOW™
",asics,"

190,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27-lite-show%E2%84%A2/p/1012B003-400.html,asics.com
"
GEL-Trabuco™ 9 G-TX
",asics,"

160,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-trabuco%E2%84%A2-9-g-tx/p/1012A900-002.html,asics.com
"
GEL-KAYANO™ 27
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27/p/1012A649-003.html,asics.com
"
GEL-NIMBUS™ 23 TOKYO
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23-tokyo/p/1012B140-600.html,asics.com
"
GEL-KAYANO™ 27 TOKYO
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27-tokyo/p/1012A948-100.html,asics.com
"
NOVABLAST™
",asics,"

140,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/novablast%E2%84%A2/p/1012A584-002.html,asics.com
"
GEL-SONOMA™ 6 G-TX
",asics,"

100,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-sonoma%E2%84%A2-6-g-tx/p/1012A921-002.html,asics.com
"
MAGIC SPEED™
",asics,"

160,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/magic-speed%E2%84%A2/p/1012A895-600.html,asics.com
"
GT-2000™ 9 KNIT
",asics,"

140,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gt-2000%E2%84%A2-9-knit/p/1012A867-400.html,asics.com
"
GEL-NIMBUS ™23 LITE-SHOW™
",asics,"

190,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus-%E2%84%A223-lite-show%E2%84%A2/p/1012A881-400.html,asics.com
"
GEL-Trabuco™ Terra
",asics,"

110,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-trabuco%E2%84%A2-terra/p/1012A902-020.html,asics.com
"
GEL-NIMBUS™ 23 KNIT
",asics,"

180,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23-knit/p/1012A880-020.html,asics.com
"
GEL-LYTE™ III OG EARTH DAY
",asics,"

130,00

",Mujer,https://www.asics.com/es/es-es/womens-shoes/c/as20200000/?sz=96&start=https://www.asics.com/es/es-es/gel-lyte%E2%84%A2-iii-og-earth-day/p/1201A206-101.html,asics.com
