Nombre,Marca,Coste,Género,Url,web_origen
"Zapatillas trail running TERREX SPEED FLOW
","
adidas","119,99",Mujer,https://www.intersport.es/adidas-zapatillas-trail-running-terrex-speed-flow-casual-al-aire-libre-iic.adidas.fx6790.a0qm.html?dwvar_iic.adidas.fx6790.a0qm_color=a0qm&cgid=,intersport.com
"Zapatillas Running Solar Boost 3
","
adidas","159,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-solar-boost-3-zapatillas-running-iic.adidas.fy0304.a0qm.html?dwvar_iic.adidas.fy0304.a0qm_color=a0qm&cgid=,intersport.com
"Zapatillas running SL20.2 SUMMER.READY
","
adidas","119,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-sl20.2-summer.ready-zapatillas-running-iic.adidas.fw2198.01f7.html?dwvar_iic.adidas.fw2198.01f7_color=01f7&cgid=,intersport.com
"Zapatillas running TERREX AGRAVIC
","
adidas","119,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-terrex-agravic-zapatillas-running-iic.adidas.fx6977.ady4.html?dwvar_iic.adidas.fx6977.ady4_color=ady4&cgid=,intersport.com
"Zapatillas running Ultraboost 21
","
adidas","164,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-ultraboost-21-zapatillas-running-iic.adidas.fy0402.a0qm.html?dwvar_iic.adidas.fy0402.a0qm_color=a0qm&cgid=,intersport.com
"Zapatillas trail running Terrex Agravic Tr
","
adidas","79,99",Mujer,https://www.intersport.es/adidas-zapatillas-trail-running-terrex-agravic-tr-casual-al-aire-libre-iic.adidas.fx6981.a0qm.html?dwvar_iic.adidas.fx6981.a0qm_color=a0qm&cgid=,intersport.com
"Zapatillas running Astrarun 2.0 Mujer
","
adidas","99,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-astrarun-2.0-mujer-zapatillas-running-iic.adidas.h05197.a0qm.html?dwvar_iic.adidas.h05197.a0qm_color=a0qm&cgid=,intersport.com
"Zapatillas running TERREX SPEED PRO
","
adidas","149,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-terrex-speed-pro-zapatillas-running-iic.adidas.fw2735.adyw.html?dwvar_iic.adidas.fw2735.adyw_color=adyw&cgid=,intersport.com
"Zapatillas trailrunning Terrex Two Flow mujer
","
adidas","119,99",Mujer,https://www.intersport.es/adidas-zapatillas-trailrunning-terrex-two-flow-mujer-casual-al-aire-libre-iic.adidas.fw9315.adwb.html?dwvar_iic.adidas.fw9315.adwb_color=adwb&cgid=,intersport.com
"Zapatillas Supernova + W
","
adidas","119,99",Mujer,https://www.intersport.es/adidas-zapatillas-supernova-w-zapatillas-running-iic.adidas.fx6700.01f7.html?dwvar_iic.adidas.fx6700.01f7_color=01f7&cgid=,intersport.com
"Zapatillas de trail running Terrex Agravic Flow Gore-Tex
","
adidas","159,99",Mujer,https://www.intersport.es/adidas-zapatillas-de-trail-running-terrex-agravic-flow-gore-tex-casual-al-aire-libre-iic.adidas.fx6964.adyw.html?dwvar_iic.adidas.fx6964.adyw_color=adyw&cgid=,intersport.com
"Zapatillas running ADIZERO BOSTON 9
","
adidas","139,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-adizero-boston-9-zapatillas-running-iic.adidas.h68744.01f7.html?dwvar_iic.adidas.h68744.01f7_color=01f7&cgid=,intersport.com
"Zapatillas trail running Terrex Agravic Tr Gtx
","
adidas","99,99",Mujer,https://www.intersport.es/adidas-zapatillas-trail-running-terrex-agravic-tr-gtx-casual-al-aire-libre-iic.adidas.fx7156.a0qm.html?dwvar_iic.adidas.fx7156.a0qm_color=a0qm&cgid=,intersport.com
"Zapatilla Runfalcon
","
adidas","31,99",Mujer,https://www.intersport.es/adidas-zapatilla-runfalcon-zapatillas-running-iic.adidas.fw5142.01f7.html?dwvar_iic.adidas.fw5142.01f7_color=01f7&cgid=,intersport.com
"Chancla Adilette Cloudfoam Plus Logo
","
adidas","27,99",Mujer,https://www.intersport.es/adidas-chancla-adilette-cloudfoam-plus-logo-chanclas-y-sandalias-iic.adidas.f34722.abzg.html?dwvar_iic.adidas.f34722.abzg_color=ABZG&cgid=,intersport.com
"Zapatillas running Response Super
","
adidas","89,99",Mujer,https://www.intersport.es/adidas-zapatillas-running-response-super-zapatillas-running-iic.adidas.fy8773.a7z8.html?dwvar_iic.adidas.fy8773.a7z8_color=a7z8&cgid=,intersport.com
